a,Course_Title,Course_Credit
ANTH 3030.,Peoples of the Pacific Islands.,(3 Credits)
ANTH 3041.,Latin American Minorities in the United States.,(3 Credits)
ANTH 3050.,Anthropology of Jews and Jewishness.,(3 Credits)
ANTH 3050W.,Anthropology of Jews and Jewishness.,(3 Credits)
ANTH 3081.,Internship in Anthropology.,(1-6 Credits)
ANTH 3090.,Directed Field Research in Anthropology.,(1-12 Credits)
ANTH 3091.,Internship in Anthropology: Directed Study.,(1 Credit)
ANTH 3093.,Foreign Study.,(1-6 Credits)
ANTH 3095.,Special Topics.,(1-6 Credits)
ANTH 3096.,Directed Research in Anthropology.,(1-6 Credits)
ANTH 3098.,Variable Topics.,(3 Credits)
ANTH 3099.,Independent Study.,(1-6 Credits)
ANTH 3120.,Anthropology of Capitalism.,(3 Credits)
ANTH 3150.,Migration.,(3 Credits)
ANTH 3150W.,Migration.,(3 Credits)
ANTH 3152.,"Race, Ethnicity, and Nationalism.",(3 Credits)
ANTH 3155.,Anthropology of the African Diaspora.,(3 Credits)
ANTH 3200.,Human Behavioral Ecology.,(3 Credits)
ANTH 3202W.,Illness and Curing.,(3 Credits)
ANTH 3230.,"Propaganda, Disinformation, and Hate Speech.",(3 Credits)
ANTH 3250.,Cognitive Anthropology.,(3 Credits)
ANTH 3251.,Psychological Anthropology.,(3 Credits)
ANTH 3300.,Medical Anthropology.,(3 Credits)
ANTH 3302.,Medical Ecology.,(3 Credits)
ANTH 3303.,Parent Child Relations in Cross-Cultural Perspective.,(3 Credits)
ANTH 3304.,Anthropology of Drug Use.,(3 Credits)
ANTH 3309.,Violence and Human Rights.,(3 Credits)
ANTH 3320.,"Race, Culture, and Reproductive Health.",(3 Credits)
ANTH 3325.,Introduction to Global Health.,(3 Credits)
ANTH 3326.,Global Health and Human Rights.,(3 Credits)
ANTH 3327.,Power and Health in Latin America and the Caribbean.,(3 Credits)
ANTH 3340E.,Culture and Conservation.,(3 Credits)
ANTH 3342.,Political and Legal Anthropology.,(3 Credits)
ANTH 3350.,Anthropological Perspectives on Women.,(3 Credits)
ANTH 3351.,Sex and Gender.,(3 Credits)
ANTH 3400.,Culture and Religion.,(3 Credits)
ANTH 3401.,World Religions.,(3 Credits)
ANTH 3402.,Women in the Bible.,(3 Credits)
ANTH 3403.,Women and Religion.,(3 Credits)
ANTH 3405.,Religion and Mind.,(3 Credits)
ANTH 3420.,Archaeology of Psychoactive Substances.,(3 Credits)
ANTH 3450W.,Anthropological Perspectives on Art.,(3 Credits)
ANTH 3503.,Old World Prehistory.,(3 Credits)
ANTH 3506W.,Laboratory Techniques in Archaeology.,(3 Credits)
ANTH 3512.,African Archaeology.,(3 Credits)
ANTH 3513.,Near Eastern Prehistory.,(3 Credits)
