Undergrad_Course_Title,Credit
CHE 440 - Instrumental Analysis,4 credit(s).
CHE 445 - Chemical Hazards and Laboratory Safety,1 credit(s).
CHE 450 - Biochemistry I,4 credit(s).
CHE 451 - Biochemistry II,4 credit(s).
CHE 456 - Medicinal Chemistry,3 credit(s).
CHE 457 - Pharmacology,3 credit(s).
CHE 458 - Drug Discovery,3 credit(s).
CHE 490 - Chemistry Research,3 credit(s).
CHE 491 - Chemistry Research,3 credit(s).
CHE 496 - Chemistry Seminar,1 credit(s).
CHE 497 - Chemistry Internship,3 credit(s).
CHE 499 - Independent Study and Research,1 to 3 credit(s).
CHI 100 - Chinese I,3 credit(s).
CMD 150 - Sustaining Professional Resilience in Health Care and School Settings,3 credit(s).
CMD 200 - Introduction to Developmental Communication Disorders,3 credit(s).
CMD 201 - Introduction to Communication Disorders in Medical Settings,3 credit(s).
CMD 203 - Phonetics and Phonological Systems,3 credit(s).
CMD 317 - Anatomy and Physiology of the Speech Mechanism,3 credit(s).
CMD 319 - Language Development: Ages Birth to Five,3 credit(s).
CMD 320 - Introduction to Hearing Science,3 credit(s).
CMD 321 - Introduction to Audiology,3 credit(s).
CMD 418 - Neurological Bases of Communication,3 credit(s).
CMD 419 - Language Acquisition: School Age: Adolescence,3 credit(s).
CMD 420 - Speech Science,3 credit(s).
CMD 461 - Clinical Practice of Speech-Language Pathology and Audiology,3 credit(s).
CMD 462 - Clinical Practicum for the Speech-Language Pathology Assistant,3 credit(s).
CMD 463 - Speech-Language Pathology Assistant Practicum,3 credit(s).
CMD 499 - Independent Study,1 to 3 credit(s).
CMS 101 - Public Speaking,3 credit(s).
CMS 102 - Professional Voice and Diction,3 credit(s).
CMS 110 - World of Communication,3 credit(s).
CMS 115 - Human Communication,3 credit(s).
CMS 130 - Media Persuasion and Everyday Life,3 credit(s).
CMS 135 - Introduction to Computer Mediated Communication,3 credit(s).
CMS 140 - How Media Means,3 credit(s).
CMS 145 - Visual Communication,3 credit(s).
CMS 201 - Interpersonal Communication,3 credit(s).
"CMS 205 - Capturing, Analyzing, and Presenting Family Stories",3 credit(s).
